0	222,300,417	248,176,10,162,224,356,499,310,105,42,195,316,492,140,80,467	0	0	0	0	0	0
1		395,230,276,392,21,218,183,353,82,287,279,190,410,7,93,239,391,209,160,340	0	0	0	0	0	0
2		74,417,84,148,338,176,184,342,373,67,33,241,228,281,252,173	0	0	0	0	0	0
3	57,102,268,307,487	477,231,359,174,209,54,420,412,483,292,181,287,302,490,195,334,312,473,78,75,463,380,439,91,342,127,498,340,177,389	0	0	0	0	0	0
4	29,159,221,224,252,378,477	287,380,151,294,104,174,305,97,474,372,419,282,1,18,52,395,91,183,376,415,334,351,493,70,478,236	0	0	0	0	0	0
5	28,163,356,375,451	266,449,415,64,26,460,109,237,471,283,489,439,405,318,388,232,214,306,342,134,398,38,174,108,115,125,4,387,335,154	0	0	0	0	0	0
6	99,452	284,6,47,271,144,123,398,286,147,104,115,386,188,400,68,226,201,150,422,343,229,436	0	0	0	0	0	0
7	98,197,274,370,493	477,455,132,69,401,166,99,404,396,338,382,423,51,237,228,260,370,26	0	0	0	0.011764705882352941	0	0
8	77,82,198,296,314,351,377,464	213,370,460,449,182,284,295,265,26,12,21,427,271,439	0	0	0	0	0	0
9	75,110,333,435	496,83,248,99,472,407,81,100,58,356,14,325,458,194,465,420,159,352,377,1,275,221	0	0	0	0	0	0
10	59,104,244,344,370,467	400,98,66,418,67,6,352,485	0	0	0	0	0	0
11		213,114,350,432,153,279,118,9,417,361,264,301,220,119,490,453	0	0	0	0	0	0
12	39,92,182,242,282,300,474,490,497	137,167,214,417,265,124,15,165,314,487,257,448,271,498,367,380,437	0	0	0	0	0	0
13	202,398	243,408,285,128,479,429,73,102,151,427,452,251,244,373,460,161,281,194,461,363,201,204	0	0	0	0	0	0
14	436	152,240,420	0	0	0	0	0	0
15	192,225,259,274,316	438,62,19,183,207,482,289,313,52,425,370,426,187,239,256,26,366,387,344	0	0	0	0	0	0
16	6,42,50,196,216,325,359,370,371,495	225,278,347,61,464,304,362,412,94,14,402,350,257,285,42,420,381,214,258,296,358,471,132	0	0	0	0.0066666666666666662	0	0
